,Z1,Z2,merged_branchcoords,tips_type
20161,3.12911510021188,0.269062762782699,5,pheno5_32
20162,2.54889710837085,0.215776229595384,5,pheno5_31
20163,1.3782767480092,-0.5633611711282,4,pheno4_2
20164,2.52723901463621,0.226152325313579,5,pheno5_31
20165,2.46698067831838,0.231089583978483,5,pheno5_31
20166,2.0900074098584,0.725926478457965,5,pheno5_4
20167,2.023515682581,0.0847244366025777,4,pheno4_2
20168,-0.632697722316753,-0.335916788871988,3,pheno3_3
20169,1.47722509889876,-0.513341871453901,4,pheno4_2
20170,3.19555756321282,0.24733205259786,5,pheno5_32
20171,2.8529090800541,0.24437240319025,5,pheno5_31
20172,-0.421880258605512,-3.5007799091468,6,pheno6_2
20173,2.7991908074579,0.1164835898879,5,pheno5_31
20174,2.48276051847626,0.194533285950385,5,pheno5_31
20175,2.23426498065723,0.784486750789354,5,pheno5_1
20176,-0.654863720708249,-0.411048337010346,3,pheno3_3
20177,-0.634136263886673,-0.440050914353214,3,pheno3_3
20178,-1.44475248424338,0.59352472515723,2,pheno2_4
20179,-2.03353041403447,1.34819694481819,1,pheno1_right1
20180,-1.33480812862291,0.643722449892871,2,pheno2_4
20181,1.52528875373676,0.57309215588792,5,pheno5_2
20182,-0.603766215112202,-0.399969026958371,3,pheno3_3
20183,-0.614026592977273,-0.373049595207774,3,pheno3_3
20184,-0.617934214359227,-0.337125063704533,3,pheno3_3
20185,1.60626001086051,0.51467162034216,5,pheno5_2
20186,0.0834271503264521,-1.00903982083055,3,pheno3_1
20187,1.16685279806735,-0.710692656566673,4,pheno4_1
20188,1.29988601852489,-0.572757447642879,4,pheno4_2
20189,0.220956568233051,-1.32633223775588,6,pheno6_1
20190,0.0662431729655441,-1.05546998895087,3,pheno3_1
20191,-1.01315055881215,-0.950675021978762,3,pheno3_41
20192,0.0124888828650509,-0.969374185509923,3,pheno3_1
20193,0.117616283173031,-1.78670300150234,6,pheno6_1
20194,0.161463054387023,-1.4767902048928,6,pheno6_1
20195,-1.07982207407716,-1.32194207467956,3,pheno3_41
20196,-1.02023343754432,-1.09655767916725,3,pheno3_41
20197,-1.09913651622916,-1.24911933846833,3,pheno3_41
20198,-1.13894578795148,-1.41067308177075,3,pheno3_42
20199,0.0244090358892281,-2.086496359178,6,pheno6_1
20200,0.0537125847138463,-2.08043024596563,6,pheno6_1
20201,0.0611615206517117,-1.97102470028864,6,pheno6_1
20202,-1.12464374700866,-1.40764607353815,3,pheno3_42
20203,-1.26506870509842,0.708354206881011,2,pheno2_4
20204,-1.95941007981211,1.88513677889152,1,pheno1_right2
20205,-1.86662791362942,0.631491546165172,2,pheno2_5
20206,-1.91503186949873,1.88427785834933,1,pheno1_right2
20207,-1.94666819990697,1.84194791436733,1,pheno1_right2
20208,-1.38529596079735,0.692133623759879,2,pheno2_4
20209,-1.93709271584008,1.8004003544077,1,pheno1_right2
20210,-1.93549723211707,1.87525038819528,1,pheno1_right2
20211,-1.96316578376291,1.8778791850365,1,pheno1_right2
20212,-1.95079651655837,1.83228124322295,1,pheno1_right2
20213,-1.88333442487483,1.95065870806457,1,pheno1_right2
20214,-2.9496898444476,1.62500971396075,1,pheno1_left1
20215,-1.92667805186246,2.02738724018204,1,pheno1_right2
20216,-2.05622389757824,1.85002425063519,1,pheno1_right2
20217,-2.94724949853506,1.68587923924452,1,pheno1_left1
20218,-1.89137502580684,1.96640354007926,1,pheno1_right2
20219,-1.98605504263649,-0.0509343599827728,2,pheno2_2
20220,-1.55019269723141,-0.199149599490152,2,pheno2_1
20221,-1.9771164600696,-0.0405117600310494,2,pheno2_2
20222,0.220963906774515,-1.43894990861141,6,pheno6_1
20223,-0.64128012595534,-0.470270419111229,3,pheno3_3
20224,1.5799736218958,-0.42605447875972,4,pheno4_2
20225,3.11586394990305,0.215295882063223,5,pheno5_32
20226,2.9220805647972,0.242963569264035,5,pheno5_31
20227,3.16592861577992,0.290910725587952,5,pheno5_32
20228,3.11141076881689,0.232276397326101,5,pheno5_32
20229,-1.96588969986411,-0.0797476044055998,2,pheno2_2
20230,-0.606976455807853,-0.394998475374744,3,pheno3_3
20231,-0.530779698113541,-0.647794953951677,3,pheno3_1
20232,-1.34658585903458,0.654440218820733,2,pheno2_4
20233,-1.23387618501779,0.738897869801395,2,pheno2_4
20234,-2.68447582910713,0.425372916037189,2,pheno2_32
20235,-1.15849182374602,-1.43182926901046,3,pheno3_42
20236,0.260061031632269,-2.32342126298285,6,pheno6_2
20237,0.198415545229932,-1.92213710598286,6,pheno6_1
20238,0.0593404450783234,-2.57465741604092,6,pheno6_2
20239,0.693511199463673,-0.988627274291262,4,pheno4_1
20240,2.60498323915586,1.56664062633208,5,pheno5_6
20241,0.191135363888611,-1.71179904282464,6,pheno6_1
20242,0.739814806512739,-0.923410176859875,4,pheno4_1
20243,-1.18891481594064,-1.37229956789803,3,pheno3_42
20244,-1.19106918752086,-1.37524080383422,3,pheno3_42
20245,-0.332915964483242,-3.70648875752908,6,pheno6_3
20246,-0.32579557511018,-3.68577402349292,6,pheno6_3
20247,2.77432139340723,1.20800572207822,5,pheno5_5
20248,-0.389851227243988,-3.64091350564737,6,pheno6_3
20249,-0.379289188688821,-3.60929127667813,6,pheno6_3
20250,-0.392761992179058,-3.67024090186649,6,pheno6_3
20251,2.79602702198331,1.17463422979275,5,pheno5_5
20252,2.7726506390446,1.19451798782925,5,pheno5_5
20253,-1.2613346441446,0.697891805384374,2,pheno2_4
20254,-1.30480773101459,-0.292726808181584,2,pheno2_1
20255,-1.07619577166056,-0.986307062697322,3,pheno3_41
20256,-1.45842170724236,0.623132261447178,2,pheno2_4
20257,-1.35184026478743,0.649776580912771,2,pheno2_4
20258,-1.73377895443702,0.532665487795685,2,pheno2_4
20259,-1.24616144533117,0.813505603035069,2,pheno2_4
20260,-1.44552436643479,0.597492674762948,2,pheno2_4
20261,-1.21265592378349,0.822933386956487,2,pheno2_4
